id,name,camera_type,line_power
1,足球场照大屏,枪机,网线和电源线
2,足球场1,球机,网线和电源线
3,足球场2,球机,光纤和电源线
4,足球场3,球机,网线和电源线
5,足球场观景台1,枪机,光纤和电源线
6,足球场观景台2,枪机,光纤和电源线
7,后门堤坝,枪机,光纤和电源线
8,后门水面,枪机,网线和电源线
9,学校后门,枪机,光纤和电源线
10,耕道院宿管旁,枪机,光纤和电源线
11,耕道院至水塔小路,球机,光纤和电源线
12,耕道院篮球场1,球机,网线和电源线
13,耕道院篮球场2,枪机,网线和电源线
14,耕道院篮球场3,枪机,网线和电源线
15,耕道院外墙1,枪机,网线和电源线
16,耕道院后墙1,枪机,网线和电源线
17,耕道院后墙2,枪机,网线和电源线
18,耕道院楼梯入口,枪机,网线和电源线
19,耕道院值班室,枪机,网线和电源线
20,嘉锐楼至商业街道路,枪机,网线和电源线
21,嘉锐楼至商业街过道2,枪机,光纤和电源线
22,嘉锐楼大厅,枪机,网线和电源线
23,嘉锐楼至实训楼前,枪机,网线和电源线
24,嘉锐楼至健身器材处,枪机,网线和电源线
25,嘉锐楼楼顶,枪机,网线和电源线
26,嘉锐楼照实训楼,枪机,网线和电源线
27,嘉锐楼照复兴楼,枪机,网线和电源线
28,嘉锐楼至实训楼,枪机,网线和电源线
29,综合训练场,球机,光纤和电源线
30,综合训练场至商业街过道,枪机,光纤和电源线
31,综合楼停车场1,枪机,光纤和电源线
32,综合楼后停车场,枪机,光纤和电源线
33,综合楼停车场2,枪机,光纤和电源线
34,综合楼大厅,枪机,网线和电源线
35,综合楼过道1,枪机,网线和电源线
36,综合楼过道2,枪机,网线和电源线
37,综合楼楼顶,枪机,网线和电源线
38,综合楼304保密室1,枪机,网线和电源线
39,综合楼304保密室2,枪机,网线和电源线
40,鸿翼楼,枪机,网线和电源线
41,鸿翼楼楼顶,枪机,网线和电源线
42,鸿翼楼过道,枪机,网线和电源线
43,鸿翼楼至嘉锐楼道路,枪机,网线和电源线
44,实训楼大厅,枪机,网线和电源线
45,实训楼后球机,球机,网线和电源线
46,实训楼楼顶,枪机,网线和电源线
47,复兴楼,枪机,网线和电源线
48,复兴楼2,枪机,网线和电源线
49,复兴楼楼梯出入口,枪机,网线和电源线
50,复兴楼至游泳池,球机,光纤和电源线
51,复兴新楼照嘉锐楼,枪机,网线和电源线
52,复兴楼照养德楼,枪机,网线和电源线
53,复兴楼楼顶出入口,枪机,网线和电源线
54,养德楼过道,枪机,网线和电源线
55,养德楼外墙1,枪机,光纤和电源线
56,养德楼外墙2,枪机,网线和电源线
57,养德楼出入口,枪机,网线和电源线
58,养德楼照复兴楼,枪机,网线和电源线
59,养德楼楼顶出入口,枪机,网线和电源线
60,养德楼照维新院,枪机,网线和电源线
61,维新苑1,枪机,网线和电源线
62,维新苑2,枪机,网线和电源线
63,维新苑3,枪机,网线和电源线
64,维新苑4,枪机,网线和电源线
65,维新院楼顶,枪机,光纤和电源线
66,维新院楼顶1,枪机,网线和电源线
67,维新苑楼顶2,枪机,网线和电源线
68,维新苑外墙,枪机,网线和电源线
69,维新苑出入口,人脸识别,网线和电源线
70,维新苑照鸿鹄楼,枪机,网线和电源线
71,维新苑楼顶照楼顶入口,枪机,网线和电源线
72,维新苑照豳风楼,枪机,网线和电源线
73,豳风楼楼顶1,枪机,网线和电源线
74,豳风楼楼顶2,枪机,网线和电源线
75,豳风楼3,枪机,网线和电源线
76,豳风楼出入口,枪机,网线和电源线
77,豳风楼过道,枪机,网线和电源线
78,豳风楼外墙,枪机,光纤和电源线
79,豳风楼后墙,枪机,光纤和电源线
80,豳风楼广场,球机,光纤和电源线
81,豳风楼后围栏过道,枪机,网线和电源线
82,鸿鹄楼出入口,枪机,网线和电源线
83,鸿鹄楼外墙,枪机,网线和电源线
84,鸿鹄楼一楼过道,枪机,网线和电源线
85,鸿鹄楼楼顶1,枪机,网线和电源线
86,鸿鹄楼楼顶防火门1,枪机,光纤和电源线
87,鸿鹄楼楼顶防火门2,枪机,光纤和电源线
88,秋实路,枪机,网线和电源线
89,五谷苑1,枪机,光纤和电源线
90,五谷苑2,枪机,光纤和电源线
91,五谷苑宿舍1,枪机,网线和电源线
92,五谷苑宿舍2,枪机,网线和电源线
93,五谷苑宿舍3,枪机,光纤和电源线
94,牧歌院1号楼,枪机,光纤和电源线
95,牧歌院1栋出入口,枪机,网线和电源线
96,牧歌院2栋出入口,枪机,网线和电源线
97,形体室至女生宿舍,枪机,网线和电源线
98,监控室,枪机,网线和电源线
99,监控中心门前,枪机,网线和电源线
100,图书馆大厅,枪机,网线和电源线
101,图书馆阅览室,枪机,网线和电源线
102,图书馆斜对面,枪机,光纤和电源线
103,图书馆配电房旁,枪机,光纤和电源线
104,图书馆门口,枪机,光纤和电源线
105,学生服务中心大厅,枪机,网线和电源线
106,学生服务中心会议室,枪机,网线和电源线
107,学生服务中心外墙,枪机,光纤和电源线
108,学生服务中心一楼过道,枪机,网线和电源线
109,绍年院,枪机,网线和电源线
110,绍年苑至田之院,枪机,光纤和电源线
111,团委门口,枪机,网线和电源线
112,团委过道,枪机,网线和电源线
113,蚕桑礼堂内,枪机,网线和电源线
114,蚕桑礼堂后门,枪机,网线和电源线
115,礼堂侧门,枪机,网线和电源线
116,礼堂小广场,枪机,网线和电源线
117,礼堂小广场2,枪机,光纤和电源线
118,礼堂斜对面,枪机,光纤和电源线
119,礼堂斜对面照学生服务中心道路,枪机,光纤和电源线
120,汽修院子,枪机,网线和电源线
121,汽修院子2,球机,网线和电源线
122,大门出入口1.2,枪球联动,光纤和电源线
123,大门出入口3,枪机,光纤和电源线
124,大门口停车场,枪机,网线和电源线
125,大门内第三颗电杆,枪机,光纤和电源线
126,后大门岗亭,枪机,光纤和电源线
127,新大门对道闸入口,枪机,网线和电源线
128,新大门翼闸入口,枪机,网线和电源线
129,新大门道闸出口,枪机,光纤和电源线
130,新大门对值班室,枪机,网线和电源线
131,老大门翼闸出口,枪机,网线和电源线
132,老大们对外路面,枪机,网线和电源线
133,老大门对停车场,枪机,网线和电源线
134,昆明学院门前,枪机,光纤和电源线
135,文清楼门口,枪机,光纤和电源线
136,文清楼至德三楼,枪机,光纤和电源线
137,文清楼停车场1,枪机,网线和电源线
138,文清楼停车场2,枪机,网线和电源线
139,一号楼ATM机1,枪机,光纤和电源线
140,一号楼ATM机2,枪机,光纤和电源线
141,新商业区大路,枪机,网线和电源线
142,网球场旁,半球人脸,网线和电源线
143,网球场照秋实路,枪机,光纤和电源线
144,众创空间,球机,光纤和电源线
145,众创空间饼屋旁,枪机,网线和电源线
146,众创空间照维新院,枪机,光纤和电源线
147,春华路,枪机,光纤和电源线
148,春华路至教师宿舍,枪机,网线和电源线
149,春华路至绍年苑,枪机,网线和电源线
150,双女教职工宿舍中间,枪机,网线和电源线
151,职工宿舍至女教工宿舍,枪机,网线和电源线
152,教工宿舍4栋后围墙,枪机,光纤和电源线
153,教工下河堤坝,半球人脸,光纤和电源线
154,男教师宿舍楼,枪机,光纤和电源线
155,水塘人行桥上方,球机,光纤和电源线
156,德三楼照文清楼,枪机,网线和电源线
157,德三楼文清楼之间,枪机,网线和电源线
158,德三楼至教工宿舍,枪机,光纤和电源线
159,后勤服务中心门前,枪机,光纤和电源线
160,后勤停车场1,枪机,网线和电源线
161,后勤停车场2,枪机,网线和电源线
162,后勤服务中心洗手池旁,枪机,光纤和电源线
163,求索园,球机,光纤和电源线
164,求索园后围墙,枪机,网线和电源线
165,水塔水池,枪机,光纤和电源线
166,水塔后围墙,球机,光纤和电源线
167,基础体育办公室,枪机,网线和电源线
168,投掷场,球机,网线和电源线
169,实训中心至鱼塘水面,枪机,网线和电源线
170,实训中心鱼塘水面球机,球机,光纤和电源线
171,鱼塘实训中心后大门,枪机,网线和电源线
172,鱼塘实训中心过道1,枪机,光纤和电源线
173,鱼塘实训中心过道2,枪机,网线和电源线
174,水产养殖实训中心,枪机,光纤和电源线
175,水产养殖旁水面,球机,网线和电源线
176,专家一号楼,枪机,光纤和电源线
177,专家楼小广场,球机,光纤和电源线
178,专家楼旁道路,枪机,光纤和电源线
179,河东岸观景台,球机,光纤和电源线
180,夏耕亭,枪机,光纤和电源线
181,夏耕亭球机,球机,光纤和电源线
182,春雨亭,枪机,网线和电源线
183,雅思亭,球机,光纤和电源线
184,镜台,枪机,光纤和电源线
185,雅思亭前,枪机,光纤和电源线
186,人合台,枪机,网线和电源线
187,人合台岔路口,枪机,光纤和电源线
188,网球篮球场旁,枪机,光纤和电源线
189,篮球场1,枪机,光纤和电源线
190,篮球场2,枪机,网线和电源线
191,篮球场3,枪机,光纤和电源线
192,稻田大棚前,球机,光纤和电源线
193,农场新修道路至花庄河,枪机,光纤和电源线
194,农牧场新修道路第一湾,枪机,光纤和电源线
195,农牧场新修道路第二湾,枪机,光纤和电源线
196,农牧场新修道路第三湾,枪机,光纤和电源线
197,花庄河道路楼梯口,枪机,光纤和电源线
198,花庄河新修道路1,枪机,光纤和电源线
199,花庄河新修道路2,枪机,光纤和电源线
200,花庄河新修道路3,枪机,光纤和电源线
201,清真食堂后门,枪机,光纤和电源线
202,检测中心门口,枪机,光纤和电源线
203,检测中心药房1,枪机,网线和电源线
204,检测中心药房2,枪机,网线和电源线
205,新源小区大门外,枪机,光纤和电源线
206,新源小区主道1,枪机,光纤和电源线
207,新源小区主道2,枪机,光纤和电源线
208,新源小区值班室,枪机,网线和电源线
209,新源小区停车场1,枪机,网线和电源线
210,新源小区停车场2,枪机,网线和电源线
211,新办公楼旁,枪机,光纤和电源线
212,招待所楼顶,枪机,光纤和电源线
213,原老办公楼旁1,枪机,光纤和电源线
214,原老办公楼旁2,枪机,网线和电源线
215,招待所后路口,枪机,网线和电源线
216,原老办公楼旁通道,枪机,网线和电源线
217,菜市场门口左侧,枪机,光纤和电源线
218,菜市场右侧房屋,枪机,光纤和电源线
219,卫生所照青年商店,枪机,光纤和电源线
220,菜市场门口,枪机,网线和电源线
221,种蓄场大门口,枪机,网线和电源线
222,老办公楼门口,枪机,网线和电源线
